dt,account,province,group,total_outbound_count,black_outbound_count,total_pickup_count,black_pickup_count,total_pay_count,black_pay_count
2025-12-10,yuedaibao999,陕西,31,77673,77673,344,344,0,0
2025-12-10,yuedaibao999,宁夏,31,5106,5106,34,34,0,0
2025-12-10,meixin888,内蒙古,31,4,4,0,0,0,0
2025-12-10,weiqianbao661,云南,未触发黑名单部分,48706,0,3215,0,1,0
2025-12-10,xinyongfei666,安徽,未触发黑名单部分,30597,0,2491,0,0,0
2025-12-10,langshun06,青海,31,359,359,2,2,0,0
2025-12-10,jixianghua888,黑龙江,未触发黑名单部分,4,0,0,0,0,0
2025-12-10,zhongandai999,天津,31,5489,5489,31,31,0,0
2025-12-10,weiqianbao888,天津,未触发黑名单部分,4677,0,201,0,0,0
2025-12-10,baotai27,海南,31,2198,2198,28,28,1,1
2025-12-10,jiuwuhua888,天津,未触发黑名单部分,6088,0,330,0,0,0
2025-12-10,taoyirong666,湖南,31,2914,2914,6,6,0,0
2025-12-10,fenqile888,海南,未触发黑名单部分,5921,0,196,0,1,0
2025-12-10,weiqianbao661,天津,31,3525,3525,13,13,0,0
2025-12-10,jixianghua888,宁夏,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,weiqianbao661,湖北,未触发黑名单部分,35351,0,2163,0,2,0
2025-12-10,,河北,未触发黑名单部分,1,0,0,0,0,0
2025-12-10,shuxunda01,广东,31,2308,2308,16,16,0,0
2025-12-10,shuxunda01,山西,31,409,409,3,3,0,0
2025-12-10,baotai18,河南,31,200,200,11,11,0,0
2025-12-10,xinyongfei666,甘肃,31,808,808,9,9,0,0
2025-12-10,zhongandai666,安徽,未触发黑名单部分,6245,0,811,0,0,0
2025-12-10,jiuwuhua888,山西,未触发黑名单部分,40155,0,1988,0,0,0
2025-12-10,langshun08,青海,未触发黑名单部分,3318,0,236,0,0,0
2025-12-10,shuxunda01,甘肃,未触发黑名单部分,4605,0,550,0,0,0
2025-12-10,weiqianbao333,河南,31,21447,21447,86,86,0,0
2025-12-10,taoyirong999,贵州,31,20310,20310,29,29,0,0
2025-12-10,jirong888,云南,31,1461,1461,4,4,0,0
2025-12-10,youqian888,辽宁,未触发黑名单部分,6797,0,459,0,0,0
2025-12-10,langshun08,青海,31,173,173,1,1,0,0
2025-12-10,weiqianbao333,福建,未触发黑名单部分,28247,0,1110,0,1,0
2025-12-10,langshun08,上海,未触发黑名单部分,21684,0,1003,0,0,0
2025-12-10,zhongandai999,安徽,31,15154,15154,124,124,0,0
2025-12-10,haihua888,上海,31,1754,1754,7,7,0,0
2025-12-10,taoyirong666,甘肃,31,333,333,0,0,0,0
2025-12-10,taoyirong999,青海,未触发黑名单部分,2,0,1,0,0,0
2025-12-10,langshun06,辽宁,未触发黑名单部分,13844,0,1020,0,0,0
2025-12-10,miduoduo888,吉林,未触发黑名单部分,57612,0,2925,0,0,0
2025-12-10,youqian888,浙江,未触发黑名单部分,37535,0,3095,0,2,0
2025-12-10,baotai18,广西,未触发黑名单部分,221,0,37,0,0,0
2025-12-10,yuedaibao666,江苏,未触发黑名单部分,29508,0,1885,0,0,0
2025-12-10,baotai27,河北,未触发黑名单部分,582,0,0,0,0,0
2025-12-10,yuedaibao999,西藏,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,baotai04,福建,未触发黑名单部分,7,0,0,0,0,0
2025-12-10,huirong888,湖南,31,9415,9415,37,37,0,0
2025-12-10,haihua888,河北,未触发黑名单部分,21,0,0,0,0,0
2025-12-10,langshun06,北京,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,xiaohuifu666,海南,31,0,0,0,0,0,0
2025-12-10,shuxunda01,贵州,31,665,665,4,4,0,0
2025-12-10,taoyirong999,陕西,31,31981,31981,45,45,0,0
2025-12-10,miduoduo888,重庆,未触发黑名单部分,76493,0,4123,0,1,0
2025-12-10,haofenqi888,广东,未触发黑名单部分,103666,0,2371,0,0,0
2025-12-10,weiqianbao555,黑龙江,未触发黑名单部分,25181,0,1401,0,0,0
2025-12-10,fenqile888,青海,未触发黑名单部分,4158,0,151,0,0,0
2025-12-10,yuedaibao999,重庆,31,32619,32619,119,119,0,0
2025-12-10,taoyirong666,内蒙古,31,2,2,0,0,0,0
2025-12-10,jiuwuhua888,浙江,31,6252,6252,26,26,1,1
2025-12-10,fenqile888,河北,未触发黑名单部分,25340,0,614,0,0,0
2025-12-10,haihua888,陕西,未触发黑名单部分,3030,0,459,0,2,0
2025-12-10,youqian888,上海,未触发黑名单部分,12465,0,537,0,0,0
2025-12-10,haihua888,四川,未触发黑名单部分,1413,0,270,0,0,0
2025-12-10,xinyongfei666,辽宁,31,1473,1473,9,9,0,0
2025-12-10,jixianghua888,上海,31,1008,1008,0,0,0,0
2025-12-10,xiaohuifu666,浙江,31,195,195,0,0,0,0
2025-12-10,,河南,未触发黑名单部分,6,0,1,0,0,0
2025-12-10,baotai52,云南,未触发黑名单部分,5062,0,659,0,0,0
2025-12-10,baotai10,辽宁,未触发黑名单部分,43285,0,4146,0,0,0
2025-12-10,haozhouzhuan888,上海,31,61299,61299,105,105,0,0
2025-12-10,baotai18,江西,未触发黑名单部分,2887,0,486,0,0,0
2025-12-10,zhongandai999,内蒙古,未触发黑名单部分,65944,0,6360,0,0,0
2025-12-10,xiaohuifu666,甘肃,未触发黑名单部分,3622,0,220,0,0,0
2025-12-10,yuedaibao999,山西,31,59562,59562,325,325,0,0
2025-12-10,baotai10,贵州,未触发黑名单部分,30468,0,2922,0,0,0
2025-12-10,jirong888,河南,31,10229,10229,43,43,0,0
2025-12-10,xinyongfei666,福建,未触发黑名单部分,2350,0,139,0,0,0
2025-12-10,baotai18,天津,31,41,41,0,0,0,0
2025-12-10,haihua888,吉林,31,1,1,0,0,0,0
2025-12-10,baotai04,贵州,未触发黑名单部分,3,0,0,0,0,0
2025-12-10,baotai27,江西,未触发黑名单部分,399238,0,25774,0,58,0
2025-12-10,weiqianbao333,贵州,31,22942,22942,50,50,1,1
2025-12-10,baotai04,海南,31,1,1,0,0,0,0
2025-12-10,jixianghua888,辽宁,31,254,254,0,0,0,0
2025-12-10,weiqianbao661,浙江,31,15986,15986,79,79,0,0
2025-12-10,fenqile888,江苏,31,6342,6342,17,17,0,0
2025-12-10,langshun08,甘肃,未触发黑名单部分,3896,0,322,0,0,0
2025-12-10,yuedaibao666,天津,31,651,651,4,4,0,0
2025-12-10,taoyirong999,辽宁,未触发黑名单部分,21945,0,745,0,0,0
2025-12-10,YSH,江苏,未触发黑名单部分,13517,0,803,0,1,0
2025-12-10,shuxunda01,甘肃,31,348,348,0,0,0,0
2025-12-10,baotai18,青海,未触发黑名单部分,67,0,14,0,0,0
2025-12-10,haozhouzhuan888,贵州,未触发黑名单部分,146253,0,2348,0,0,0
2025-12-10,zhongandai999,甘肃,未触发黑名单部分,44331,0,4292,0,0,0
2025-12-10,langshun08,河南,31,1212,1212,5,5,0,0
2025-12-10,miduoduo888,安徽,未触发黑名单部分,130237,0,7778,0,1,0
2025-12-10,weiqianbao888,河南,31,18806,18806,102,102,0,0
2025-12-10,xinyongfei666,河北,31,3827,3827,24,24,0,0
2025-12-10,meixin888,江苏,31,13564,13564,28,28,0,0
2025-12-10,yuedaibao666,山西,未触发黑名单部分,30077,0,1851,0,0,0
2025-12-10,YSH,安徽,31,472,472,0,0,0,0
2025-12-10,yuedaibao999,青海,未触发黑名单部分,13,0,3,0,0,0
2025-12-10,youqian888,宁夏,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,,重庆,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,miduoduo888,广东,31,280250,280250,790,790,0,0
2025-12-10,taoyirong666,河南,未触发黑名单部分,19576,0,1014,0,2,0
2025-12-10,yuedaibao666,浙江,31,2694,2694,19,19,0,0
2025-12-10,zhongandai666,福建,未触发黑名单部分,5445,0,439,0,0,0
2025-12-10,xiaohuifu666,广东,31,278,278,0,0,0,0
2025-12-10,youqian888,内蒙古,31,2,2,0,0,0,0
2025-12-10,zhongandai999,河南,未触发黑名单部分,203691,0,21347,0,1,0
2025-12-10,baotai10,甘肃,31,3083,3083,33,33,0,0
2025-12-10,weiqianbao888,浙江,未触发黑名单部分,28801,0,2023,0,2,0
2025-12-10,YSH,天津,31,698,698,3,3,0,0
2025-12-10,jirong888,山西,未触发黑名单部分,12628,0,481,0,0,0
2025-12-10,weiqianbao661,上海,未触发黑名单部分,8946,0,567,0,0,0
2025-12-10,langshun08,贵州,未触发黑名单部分,15852,0,683,0,1,0
2025-12-10,baotai04,四川,未触发黑名单部分,9,0,2,0,0,0
2025-12-10,,青海,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,weiqianbao661,内蒙古,31,5583,5583,24,24,0,0
2025-12-10,haofenqi888,四川,31,11674,11674,61,61,1,1
2025-12-10,haihua888,山西,未触发黑名单部分,1618,0,187,0,0,0
2025-12-10,yuedaibao666,陕西,31,2054,2054,12,12,0,0
2025-12-10,baotai18,广东,31,196,196,20,20,0,0
2025-12-10,baotai18,湖南,31,24,24,3,3,0,0
2025-12-10,youqian888,湖南,31,1433,1433,4,4,0,0
2025-12-10,langshun06,辽宁,31,1647,1647,2,2,0,0
2025-12-10,fenqile888,吉林,未触发黑名单部分,8187,0,175,0,0,0
2025-12-10,haozhouzhuan888,江西,31,46521,46521,157,157,1,1
2025-12-10,langshun08,广东,31,5245,5245,24,24,0,0
2025-12-10,yunshenghua888,宁夏,未触发黑名单部分,9,0,0,0,0,0
2025-12-10,jiuwuhua888,福建,未触发黑名单部分,42791,0,2189,0,0,0
2025-12-10,baotai52,湖北,31,511,511,3,3,0,0
2025-12-10,YSH,河南,31,8,8,0,0,0,0
2025-12-10,baotai04,陕西,未触发黑名单部分,10,0,2,0,0,0
2025-12-10,YSH,上海,31,3237,3237,9,9,0,0
2025-12-10,YSH,山西,31,570,570,1,1,0,0
2025-12-10,zhongandai999,四川,31,24041,24041,192,192,0,0
